               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11515,            0.015757,            0.076501,           0.0068337,                 0.3,           0.0069951,           0.0016778,            0.087311,             0.01187,            0.062991,              0.0982,              0.0002,              0.0002
                   1,             0.11253,             0.01541,             0.07575,           0.0086494,              0.3875,            0.010238,           0.0022723,            0.082527,            0.012731,            0.062071,            0.095499,          0.00049901,          0.00049901
                   2,             0.10795,            0.019646,            0.074046,           0.0093777,             0.45417,            0.010658,           0.0021604,            0.075139,            0.014139,              0.0605,            0.092797,          0.00079683,          0.00079683
                   3,            0.097267,             0.01851,            0.070287,           0.0064526,              0.3375,           0.0068318,           0.0018902,            0.066558,            0.015798,            0.058507,            0.090093,           0.0010935,           0.0010935
                   4,            0.090844,            0.026759,            0.066816,           0.0078348,             0.48333,            0.009533,           0.0024372,            0.063141,            0.016195,            0.055765,            0.087389,           0.0013889,           0.0013889
                   5,            0.089214,            0.022309,            0.062771,           0.0091754,             0.63333,             0.01208,           0.0037555,            0.061515,            0.016387,            0.053135,            0.084683,           0.0016832,           0.0016832
                   6,            0.084022,            0.026471,            0.059915,            0.012217,               0.975,            0.037525,             0.01098,             0.05587,            0.017056,            0.049267,            0.081976,           0.0019762,           0.0019762
                   7,            0.080284,            0.025868,            0.056709,              0.0111,                   1,            0.086109,            0.026905,            0.052576,            0.017346,            0.046983,            0.079268,           0.0022681,           0.0022681
                   8,            0.079811,            0.026829,            0.054351,           0.0093818,                   1,             0.14777,            0.051133,            0.052904,            0.016602,            0.042857,            0.076559,           0.0025588,           0.0025588
                   9,            0.075178,            0.025935,            0.050261,            0.042315,               0.975,             0.22158,            0.091017,            0.051994,             0.01622,            0.040156,            0.073848,           0.0028483,           0.0028483
                  10,            0.071323,            0.024726,            0.046973,              0.1331,             0.25627,             0.17401,            0.048112,            0.054148,            0.014822,            0.036514,            0.071137,           0.0031366,           0.0031366
                  11,            0.074943,            0.024158,             0.04298,             0.39538,             0.55402,             0.44816,             0.15227,            0.053746,            0.014064,            0.035449,            0.068424,           0.0034238,           0.0034238
                  12,            0.069268,            0.023156,            0.039371,             0.19846,             0.76667,             0.25674,            0.051647,            0.055027,            0.013131,            0.033964,             0.06571,           0.0037097,           0.0037097
                  13,             0.07292,            0.022895,            0.037876,             0.12517,               0.775,             0.13858,            0.041352,             0.05883,            0.012633,            0.032847,            0.062994,           0.0039945,           0.0039945
                  14,              0.0708,            0.021255,            0.035795,             0.16546,             0.25833,             0.12187,            0.036403,            0.064393,            0.012896,            0.031698,            0.060278,            0.004278,            0.004278
                  15,            0.068213,            0.017713,            0.035121,             0.31304,             0.85244,             0.38845,             0.14483,            0.054812,            0.013227,             0.03098,             0.05756,           0.0045604,           0.0045604
                  16,            0.068927,            0.019041,             0.03568,             0.38059,             0.68411,             0.52675,             0.19319,             0.05586,            0.013922,            0.029855,            0.054842,           0.0048416,           0.0048416
                  17,            0.067569,            0.018116,            0.034534,            0.098177,               0.775,             0.13135,            0.055894,            0.059756,            0.014522,            0.029344,            0.052122,           0.0051216,           0.0051216
                  18,            0.067969,            0.019222,            0.033137,             0.24407,             0.81667,              0.3183,            0.083662,            0.056481,            0.014471,            0.028732,              0.0494,           0.0054004,           0.0054004
                  19,            0.066783,              0.0186,            0.032584,             0.26366,             0.81811,             0.52137,              0.1719,            0.054663,            0.014409,            0.029055,            0.046678,            0.005678,            0.005678
                  20,            0.064125,            0.018273,            0.032475,            0.089816,             0.37083,            0.079549,            0.021801,            0.068014,             0.01426,            0.028662,            0.043954,           0.0059545,           0.0059545
                  21,            0.075592,            0.015223,            0.031172,             0.41695,             0.85417,             0.57236,              0.1705,            0.059598,            0.013361,            0.027003,             0.04123,           0.0062297,           0.0062297
                  22,            0.065955,            0.018835,            0.031062,            0.046332,             0.75833,            0.049092,              0.0162,            0.065745,            0.013882,            0.025451,            0.038504,           0.0065038,           0.0065038
                  23,            0.078371,              0.0167,            0.030142,             0.31558,             0.74928,             0.44114,             0.16054,            0.060532,            0.012302,            0.024723,            0.035777,           0.0067767,           0.0067767
                  24,            0.068065,            0.017608,            0.030984,             0.18016,             0.81859,             0.25482,              0.0645,            0.051833,            0.012499,             0.02399,            0.033048,           0.0070484,           0.0070484
                  25,            0.064158,            0.016688,            0.029587,             0.23702,             0.56667,             0.28234,            0.063146,            0.068433,            0.011315,            0.023708,            0.030319,           0.0073188,           0.0073188
                  26,            0.079791,            0.016401,            0.028616,                0.21,             0.57083,             0.25527,            0.065387,            0.058476,            0.011547,            0.022025,            0.027588,           0.0075882,           0.0075882
                  27,            0.070284,            0.015755,            0.029085,             0.34198,                0.45,              0.3694,            0.080026,            0.065182,             0.01061,             0.02066,            0.024856,           0.0078563,           0.0078563
                  28,            0.074974,            0.015138,            0.028129,             0.34198,                0.45,              0.3694,            0.080026,            0.065182,             0.01061,             0.02066,            0.022123,           0.0081232,           0.0081232
                  29,             0.06574,            0.016591,            0.028996,             0.38548,             0.34167,             0.43486,             0.17198,            0.050531,             0.01147,            0.019929,            0.019389,            0.008389,            0.008389
                  30,              0.0652,             0.01668,            0.030575,             0.47753,             0.45894,             0.46625,             0.18327,            0.059776,            0.011545,            0.019261,            0.016654,           0.0086535,           0.0086535
                  31,            0.074718,            0.016611,            0.028826,             0.22736,             0.59583,             0.29735,             0.12017,            0.050453,            0.012018,            0.018601,            0.013917,           0.0089169,           0.0089169
                  32,            0.060476,            0.016593,            0.027774,             0.22736,             0.59583,             0.29735,             0.12017,            0.050453,            0.012018,            0.018601,            0.011179,           0.0091791,           0.0091791
                  33,            0.054668,            0.019098,            0.027805,             0.34644,             0.56667,             0.41428,             0.15324,            0.042823,            0.012324,             0.01795,           0.0093466,           0.0093466,           0.0093466
                  34,            0.058029,            0.016243,            0.027252,             0.89505,             0.60798,             0.80412,             0.25448,            0.054309,            0.010675,            0.017082,           0.0093466,           0.0093466,           0.0093466
                  35,            0.068601,            0.015023,            0.023449,             0.20592,             0.55509,             0.41076,             0.18901,             0.07271,            0.010322,            0.015843,           0.0093268,           0.0093268,           0.0093268
                  36,              0.0813,            0.014883,            0.024053,             0.20592,             0.55509,             0.41076,             0.18901,             0.07271,            0.010322,            0.015843,            0.009307,            0.009307,            0.009307
                  37,            0.075469,            0.015199,            0.025085,              0.1838,             0.67917,             0.39751,             0.13951,            0.063997,            0.010105,            0.014773,           0.0092872,           0.0092872,           0.0092872
                  38,            0.073335,            0.015823,            0.023031,             0.38509,              0.7125,             0.54636,             0.19289,            0.061875,           0.0094841,            0.013699,           0.0092674,           0.0092674,           0.0092674
                  39,            0.077263,            0.014427,            0.021493,             0.80932,             0.63102,              0.7868,             0.22256,            0.049175,            0.008873,            0.013132,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05851,            0.016299,            0.022492,             0.80932,             0.63102,              0.7868,             0.22256,            0.049175,            0.008873,            0.013132,           0.0092278,           0.0092278,           0.0092278
                  41,            0.057037,             0.01749,            0.020306,               0.875,             0.72894,             0.85022,             0.37954,             0.04573,           0.0086953,            0.012325,            0.009208,            0.009208,            0.009208
                  42,             0.05987,            0.015845,            0.021593,              0.7808,             0.62322,             0.75022,             0.26185,            0.056511,            0.008262,            0.010509,           0.0091882,           0.0091882,           0.0091882
                  43,            0.068891,            0.015262,            0.019333,             0.70774,                 0.7,             0.77883,             0.27034,            0.050308,           0.0084809,           0.0099974,           0.0091684,           0.0091684,           0.0091684
                  44,            0.059467,             0.01724,            0.020347,             0.70774,                 0.7,             0.77883,             0.27034,            0.050308,           0.0084809,           0.0099974,           0.0091486,           0.0091486,           0.0091486
